Plan_Granularity,Social_Support,Initial_Intensity,Feedback_Frequency,Identity_Congruence,External_Stressors,Goal_Specificity,Past_Success_Rate,Intrinsic_Motivation,Deadline_Presence,Obstacle_Anticipation,Goal_Achieved
2,0,44.8,3,4,3,2,0.68,9,0,1,1
2,0,14.7,9,1,9,4,0.72,9,1,0,1
5,0,45.8,2,7,6,5,0.16,6,0,0,1
6,1,36.6,12,1,8,9,0.12,7,0,1,0
10,1,35.1,11,2,1,4,0.77,2,0,0,1
8,1,10.6,5,4,5,2,0.61,3,0,0,1
5,0,41.4,13,1,4,1,0.81,7,1,0,1
10,1,13.5,7,7,8,3,0.26,4,1,1,1
7,1,13.9,2,9,8,2,0.76,2,0,0,0
7,0,23.7,9,8,9,5,0.97,1,0,1,1
6,0,18.3,2,8,1,5,0.97,3,0,1,1
9,0,10.0,12,3,9,9,0.92,10,1,1,1
6,1,15.1,3,10,2,2,0.73,2,0,0,1
9,0,16.6,13,10,7,4,0.93,4,1,1,1
6,1,54.1,7,2,4,4,0.06,1,0,0,1
1,0,5.0,0,6,2,9,0.24,8,0,0,0
10,1,15.3,7,7,4,2,0.1,7,1,1,1
1,0,4.6,11,6,2,4,0.19,9,1,0,1
5,1,15.7,14,2,8,9,0.1,9,0,0,0
4,0,25.0,7,4,7,1,0.16,1,1,1,0
8,1,26.0,11,9,8,3,0.19,4,0,0,0
1,0,35.5,8,9,3,1,0.96,2,0,0,1
4,1,8.1,14,10,4,10,0.59,10,0,1,1
10,1,56.1,3,6,4,5,0.4,5,1,1,1
2,0,28.0,9,2,2,9,0.21,5,0,1,0
4,1,17.8,7,9,5,10,0.98,9,0,1,1
2,0,16.6,14,2,9,3,0.27,10,0,1,1
5,1,15.8,14,1,2,7,0.83,1,0,1,1
5,0,44.7,8,7,9,1,0.11,3,0,1,0
3,1,8.5,4,6,1,6,0.21,4,0,1,0
7,0,55.6,3,3,3,7,0.02,6,1,0,1
2,1,52.5,13,8,4,4,0.82,8,1,1,1
4,0,2.4,3,7,6,5,0.86,5,1,1,1
9,1,56.4,1,5,3,10,0.96,5,0,0,1
6,1,26.7,8,2,7,10,0.19,1,1,0,1
9,0,22.5,1,6,10,6,0.66,2,1,1,1
6,1,42.1,8,3,4,7,0.66,7,0,1,1
1,1,17.9,6,10,10,6,0.46,8,0,1,1
3,0,17.7,10,10,6,2,0.82,4,1,0,1
3,0,3.7,7,10,2,8,0.41,10,0,1,1
4,0,39.7,0,2,7,4,0.18,9,1,0,0
2,1,8.9,7,9,9,10,0.32,8,1,1,1
8,1,16.3,3,5,9,8,0.63,5,1,0,1
4,1,20.8,14,9,2,3,0.15,7,0,0,1
7,1,33.0,6,1,4,7,0.39,10,0,1,1
6,1,45.5,13,7,9,9,0.8,4,1,0,1
8,0,23.9,10,7,3,8,0.92,10,0,1,1
1,0,38.9,2,8,3,1,0.26,6,0,1,1
7,1,45.4,13,7,5,2,0.47,9,0,1,1
2,0,45.5,3,4,1,10,0.15,3,1,0,0
4,1,42.3,12,6,3,10,0.61,2,0,1,1
1,1,35.0,14,7,7,4,0.08,4,0,1,0
10,0,48.0,9,1,6,9,0.43,6,0,1,1
7,1,7.2,5,8,3,7,0.18,9,1,1,1
10,1,20.0,3,2,5,8,0.24,8,1,1,1
6,0,29.8,5,5,6,5,0.88,5,0,0,1
7,1,33.8,3,8,8,8,0.79,2,1,0,1
4,1,40.2,5,8,9,9,0.34,9,1,1,1
5,1,15.8,1,4,6,2,0.74,3,0,0,0
5,1,58.9,13,4,5,4,0.36,5,0,0,1
1,1,42.1,2,8,2,1,0.57,8,1,1,1
1,1,56.5,7,2,2,7,0.49,10,0,0,1
10,1,6.0,3,2,9,7,0.61,10,0,1,1
8,1,51.7,6,5,10,10,0.06,2,0,0,1
2,0,15.2,8,2,3,1,0.41,10,1,1,1
5,1,42.5,7,2,4,5,0.79,10,0,1,1
4,0,54.6,13,3,2,1,0.17,5,1,1,1
5,1,56.6,8,9,8,8,0.08,1,1,1,1
1,0,14.5,10,10,10,1,1.0,5,0,0,1
8,1,11.7,9,7,8,2,0.47,7,1,1,1
3,1,25.3,7,5,7,9,0.04,2,1,1,1
7,0,39.8,8,8,7,1,0.19,6,1,1,0
4,1,33.4,14,5,8,8,0.12,10,0,0,1
1,1,6.5,13,2,8,2,0.65,3,1,1,1
5,1,50.2,7,4,8,9,0.14,4,0,0,1
7,1,56.1,8,5,1,5,0.73,10,1,0,1
8,1,20.6,12,9,7,8,0.93,4,0,1,1
7,0,19.8,7,7,7,3,0.5,1,0,1,0
8,0,32.0,7,1,3,7,0.87,3,0,1,1
5,1,37.8,6,2,6,9,0.38,6,1,0,1
4,1,59.8,11,2,7,2,0.76,2,1,0,1
1,0,20.1,0,5,6,6,0.43,4,1,0,1
2,1,37.6,3,8,10,3,0.23,5,1,1,1
8,1,41.0,2,2,8,6,0.99,5,1,1,1
5,0,60.0,13,8,2,4,0.38,6,1,1,1
7,1,1.5,13,1,10,8,0.83,5,0,1,1
4,1,41.0,11,3,2,1,0.31,8,0,1,1
2,1,20.3,6,3,4,3,0.79,6,1,0,1
8,1,45.0,5,2,8,2,0.14,4,1,1,1
7,0,16.6,1,8,6,5,0.58,6,0,0,1
10,1,55.0,3,2,8,5,0.65,2,0,0,0
5,1,7.9,3,9,3,7,0.45,9,1,0,1
2,1,37.3,4,1,6,4,0.44,4,1,0,0
6,1,4.6,4,4,2,8,0.09,4,0,0,0
4,0,47.4,3,2,9,4,0.59,4,1,0,0
10,0,17.4,2,3,9,5,0.8,2,0,0,1
4,1,1.9,4,1,3,7,0.53,2,1,1,0
9,0,27.7,3,10,1,9,0.3,1,0,1,0
7,0,29.9,14,8,2,2,0.32,3,0,0,1
10,1,23.5,9,9,5,8,0.51,7,0,0,1
9,0,26.4,14,4,7,6,0.83,7,1,0,1
6,1,23.1,2,8,2,2,0.83,2,1,0,1
6,0,33.8,9,9,9,6,0.67,7,1,1,1
1,1,36.4,5,2,10,9,0.21,8,0,0,1
9,1,7.8,4,10,4,7,0.85,10,0,1,1
5,1,55.4,5,1,3,3,0.57,7,0,0,0
1,0,45.0,3,7,7,8,0.34,6,1,1,0
10,0,53.1,2,3,10,1,0.67,5,1,1,1
8,1,17.1,12,9,2,6,0.43,5,1,1,1
7,0,1.5,4,4,3,5,0.29,2,0,1,0
3,0,23.4,11,4,9,9,0.83,6,0,1,1
1,1,2.1,14,2,6,10,0.43,7,1,1,1
1,1,11.1,9,8,6,2,0.44,2,0,1,1
9,0,24.4,4,6,4,6,0.78,2,0,0,0
6,1,43.9,13,3,4,2,0.15,4,0,0,0
2,0,57.1,10,8,8,10,0.76,8,1,1,1
2,1,27.1,4,5,10,1,0.35,2,1,1,1
1,1,50.1,1,2,10,10,0.51,8,0,1,0
10,0,20.0,7,9,3,1,0.45,6,0,0,1
8,1,31.9,9,3,6,6,0.92,7,1,1,1
1,1,4.9,1,9,7,5,0.25,10,0,1,1
3,1,19.3,10,7,3,10,0.71,2,1,1,1
6,0,40.5,13,9,2,7,0.51,1,1,1,1
4,1,56.9,7,4,4,3,0.15,5,0,0,0
10,0,36.2,2,3,3,10,0.81,3,1,0,1
4,1,37.0,12,8,4,9,0.24,8,0,1,1
10,1,28.2,4,7,9,9,0.42,3,0,0,0
1,1,52.6,8,2,9,2,0.29,3,1,1,0
3,1,6.4,14,4,8,6,0.93,7,0,1,1
4,1,59.7,5,4,1,6,0.93,6,0,0,1
8,0,45.8,7,8,10,1,0.91,1,1,0,0
9,1,7.6,4,4,5,2,0.05,7,1,0,1
8,0,38.3,9,4,3,5,0.43,10,1,0,1
3,0,31.9,5,2,9,9,0.51,9,0,1,0
1,1,58.9,4,1,6,2,0.34,2,1,0,1
9,1,49.0,2,8,8,3,0.81,2,1,0,1
1,0,53.3,5,5,9,7,0.99,9,1,1,1
4,1,22.1,12,1,6,5,0.12,6,1,1,1
7,1,58.4,7,8,6,9,0.27,2,1,0,1
3,1,20.0,1,6,5,5,0.45,7,0,1,1
1,1,37.3,6,5,1,2,0.67,7,1,0,1
3,1,3.1,1,4,6,6,0.38,10,0,0,0
6,1,27.2,1,10,3,9,0.37,6,1,0,1
1,0,30.4,6,9,2,5,0.77,8,0,1,1
8,0,8.2,13,2,8,3,0.9,8,0,1,1
2,1,53.6,13,3,3,6,0.51,2,0,0,1
8,0,22.3,9,6,8,9,0.13,2,0,1,1
8,1,46.4,13,10,2,3,0.97,2,1,1,1
6,0,52.8,12,9,10,3,0.77,3,1,0,1
9,0,18.9,2,6,4,6,0.95,9,1,0,1
9,1,8.4,4,10,9,2,0.5,3,0,0,1
10,1,50.7,9,1,1,2,0.05,10,1,0,1
7,0,30.4,10,9,5,5,0.48,7,1,1,1
1,0,26.9,7,8,4,6,0.61,6,1,1,1
3,1,31.4,1,6,4,8,0.12,8,0,0,1
5,1,52.0,6,4,3,6,0.93,6,0,0,1
9,1,30.4,4,8,1,2,0.95,9,1,0,1
6,0,4.0,7,10,8,5,0.54,2,1,0,0
6,1,22.6,6,1,10,9,0.19,9,1,0,1
8,1,49.7,9,10,2,3,0.98,7,1,1,1
6,0,12.7,8,7,9,1,0.05,3,1,1,0
3,0,20.3,9,6,3,7,0.99,5,1,1,1
5,1,49.1,5,6,2,7,0.58,1,1,1,1
10,0,43.6,9,8,3,9,0.63,10,1,0,1
4,0,34.8,11,2,4,1,0.44,7,0,1,0
7,1,52.5,11,1,3,9,0.21,6,1,1,1
3,1,54.8,5,9,6,5,0.61,4,0,1,1
4,1,46.5,11,4,8,6,0.48,9,1,1,1
9,1,53.8,6,6,3,5,0.04,2,1,1,1
8,0,12.9,8,5,9,5,0.14,10,0,0,1
9,0,38.6,0,2,7,6,0.72,2,0,0,0
3,1,39.5,14,8,8,4,0.76,5,1,1,1
2,0,32.6,11,1,3,7,0.88,3,0,1,1
3,1,52.7,0,5,10,10,0.11,6,1,1,0
9,1,53.5,2,9,8,5,0.19,2,1,0,1
5,0,1.8,5,5,10,4,0.18,7,1,1,1
2,0,58.9,7,6,4,1,0.26,4,1,1,0
5,0,16.4,5,4,1,2,0.47,3,1,1,1
5,1,37.3,3,3,8,3,0.45,10,1,1,1
8,0,45.9,10,10,2,9,0.45,6,0,0,1
9,0,34.8,2,3,6,9,0.44,4,1,0,0
8,0,27.8,8,7,8,10,0.06,8,1,0,1
1,0,35.1,0,7,6,2,0.54,1,0,1,1
7,0,46.4,12,7,6,7,0.45,7,1,0,1
9,0,39.6,5,2,3,9,0.39,3,0,0,0
5,1,40.7,8,7,9,7,0.82,4,1,1,1
4,0,2.9,10,7,10,1,0.24,2,0,0,0
1,0,44.7,6,8,4,9,0.22,1,0,1,1
10,1,35.1,12,6,4,5,0.88,9,0,1,1
1,0,37.9,6,9,8,1,0.97,7,1,1,1
5,1,11.8,8,8,4,4,0.3,3,1,0,1
7,0,23.9,4,4,6,2,0.92,6,0,0,1
7,0,52.5,3,10,9,4,0.48,6,1,0,1
4,0,45.1,12,8,4,10,0.7,7,0,1,1
7,1,32.5,5,5,5,6,0.51,8,1,0,1
8,1,54.9,5,6,7,1,0.56,4,0,0,1
10,1,18.4,3,6,4,7,0.57,4,1,1,1
8,1,28.2,11,6,3,3,0.72,8,0,0,1
2,0,46.1,6,3,4,2,0.71,1,0,1,1
10,1,39.9,0,1,9,9,0.41,1,1,1,1
